#separator:tab
#html:true
#notetype:Basic
#deck:DP-700
#tags column:3
<strong>DP700-001: Least-privilege workspace author</strong><br><br>A data engineer must create and modify lakehouses, warehouses, notebooks, and pipelines in a Fabric workspace. The engineer must not add users, change workspace access, or update the workspace itself. Which workspace role should you assign?<br><br><ol type="A"><li><strong>A.</strong> Admin</li><li><strong>B.</strong> Member</li><li><strong>C.</strong> Contributor</li><li><strong>D.</strong> Viewer</li></ol>	<strong>Correct answer:</strong> C. Contributor<br><br><strong>Explanation:</strong><br>The Contributor role can create and modify Fabric items and execute pipelines, but it cannot add or remove people or update the workspace. It therefore provides the required authoring capabilities without the access-management permissions excluded by the scenario.<br><br><strong>Choice reasoning:</strong><ul><li><strong>A.</strong> Admin can update or delete the workspace and manage all workspace access, which exceeds the required permissions.</li><li><strong>B.</strong> Member can add members and users with lower permissions, so it does not satisfy the access-management restriction.</li><li><strong>C.</strong> Contributor supports item creation and modification without granting workspace or membership administration.</li><li><strong>D.</strong> Viewer can read workspace content but cannot create or modify the required Fabric items.</li></ul><br><br><strong>Source:</strong> Roles in workspaces in Microsoft Fabric<br><strong>Link:</strong> <a href="https://learn.microsoft.com/en-us/fabric/get-started/roles-workspaces">https://learn.microsoft.com/en-us/fabric/get-started/roles-workspaces</a>	dp700 question-bank dp700-001 domain-implement-and-manage-an-analytics-solution difficulty-foundation topic-workspace-level-access-control
<strong>DP700-002: Low-code cleansing for analysts</strong><br><br>Business analysts need to remove duplicates, standardize column names, merge queries, and load curated data into a Fabric Warehouse. They prefer a visual Power Query experience and do not want to maintain code. Which Fabric item should form the transformation step?<br><br><ol type="A"><li><strong>A.</strong> Dataflow Gen2</li><li><strong>B.</strong> Fabric notebook</li><li><strong>C.</strong> Eventstream</li><li><strong>D.</strong> Deployment pipeline</li></ol>	<strong>Correct answer:</strong> A. Dataflow Gen2<br><br><strong>Explanation:</strong><br>Dataflow Gen2 provides the visual, low-code Power Query experience described in the scenario. It supports cleansing, derived columns, aggregation, and query merging, and can write results to a Lakehouse or Warehouse.<br><br><strong>Choice reasoning:</strong><ul><li><strong>A.</strong> Dataflow Gen2 directly meets both the low-code authoring and batch-transformation requirements.</li><li><strong>B.</strong> A notebook is appropriate for advanced code-first transformations, but it conflicts with the analysts' no-code requirement.</li><li><strong>C.</strong> Eventstream processes data in motion; the scenario calls for analyst-authored batch preparation with Power Query.</li><li><strong>D.</strong> A deployment pipeline promotes Fabric content between lifecycle stages; it does not perform the requested data cleansing.</li></ul><br><br><strong>Source:</strong> Prepare and transform data in Microsoft Fabric<br><strong>Link:</strong> <a href="https://learn.microsoft.com/en-us/fabric/fundamentals/prepare-transform-data">https://learn.microsoft.com/en-us/fabric/fundamentals/prepare-transform-data</a>	dp700 question-bank dp700-002 domain-implement-and-manage-an-analytics-solution difficulty-foundation topic-choosing-an-orchestration-and-transformation-tool
<strong>DP700-003: Stage-specific notebook lakehouse</strong><br><br>A notebook is promoted from development to test and then production by using a Fabric deployment pipeline. The same notebook code must run in every stage, but its default lakehouse must point to the lakehouse in the target stage after each deployment. What should you configure?<br><br><ol type="A"><li><strong>A.</strong> A data source rule on the notebook</li><li><strong>B.</strong> A parameter rule on the notebook</li><li><strong>C.</strong> A default lakehouse deployment rule in each target stage</li><li><strong>D.</strong> A workspace Viewer role for the notebook owner</li></ol>	<strong>Correct answer:</strong> C. A default lakehouse deployment rule in each target stage<br><br><strong>Explanation:</strong><br>Fabric deployment pipelines support a default lakehouse rule specifically for notebooks. The rule is defined in the target stage and assigns that stage's lakehouse when content is deployed into it.<br><br><strong>Choice reasoning:</strong><ul><li><strong>A.</strong> Deployment-pipeline data source rules are not supported for notebooks; notebooks use default lakehouse rules.</li><li><strong>B.</strong> Parameter rules are not the supported rule type for assigning a notebook's default lakehouse.</li><li><strong>C.</strong> This rule preserves the notebook while binding it to the correct target-stage lakehouse.</li><li><strong>D.</strong> A workspace role controls a user's permissions and cannot change an item's stage-specific lakehouse binding.</li></ul><br><br><strong>Source:</strong> Create deployment rules for Fabric application lifecycle management<br><strong>Link:</strong> <a href="https://learn.microsoft.com/en-us/fabric/cicd/deployment-pipelines/create-rules">https://learn.microsoft.com/en-us/fabric/cicd/deployment-pipelines/create-rules</a>	dp700 question-bank dp700-003 domain-implement-and-manage-an-analytics-solution difficulty-intermediate topic-deployment-pipeline-rules
<strong>DP700-004: Version a Fabric SQL database schema</strong><br><br>A team develops a SQL database in Fabric. It must track table, view, and stored-procedure definitions in Azure DevOps, review changes as code, and apply validated differential schema changes back to the live database. The team does not need to version table data. Which approach should it use?<br><br><ol type="A"><li><strong>A.</strong> Connect the workspace to a Git repository and use the SQL database source-control integration</li><li><strong>B.</strong> Create a OneLake shortcut to the SQL database</li><li><strong>C.</strong> Schedule a Copy job to copy every database table to a lakehouse</li><li><strong>D.</strong> Use the Monitoring hub to retain the database definitions</li></ol>	<strong>Correct answer:</strong> A. Connect the workspace to a Git repository and use the SQL database source-control integration<br><br><strong>Explanation:</strong><br>Fabric SQL database Git integration converts the live database object definitions into code when committing and validates repository code before applying differential changes during an update. This matches the requirement to version schema rather than data.<br><br><strong>Choice reasoning:</strong><ul><li><strong>A.</strong> Git integration provides the required schema history, code review workflow, validation, and differential update behavior.</li><li><strong>B.</strong> A shortcut exposes existing data without copying it; it is not a database-object version-control mechanism.</li><li><strong>C.</strong> A Copy job moves data and would duplicate table contents, but it does not version SQL object definitions.</li><li><strong>D.</strong> Monitoring hub records workload runs; it is not a source repository for database schema.</li></ul><br><br><strong>Source:</strong> SQL database source control integration in Microsoft Fabric<br><strong>Link:</strong> <a href="https://learn.microsoft.com/en-us/fabric/database/sql/source-control">https://learn.microsoft.com/en-us/fabric/database/sql/source-control</a>	dp700 question-bank dp700-004 domain-implement-and-manage-an-analytics-solution difficulty-intermediate topic-version-control-for-database-objects
<strong>DP700-005: Restrict a lakehouse to one folder</strong><br><br>OneLake security is enabled on a lakehouse. A Microsoft Entra group must read only the <code>Files/curated/region-a</code> folder across Fabric experiences. Its users currently inherit broad lakehouse read access through the automatically created <code>DefaultReader</code> role. Which action best enforces the requirement?<br><br><ol type="A"><li><strong>A.</strong> Add the group to a new OneLake security role scoped to the folder and remove its broad access through <code>DefaultReader</code> or <code>ReadAll</code></li><li><strong>B.</strong> Assign the group the workspace Contributor role and share the folder with Read permission</li><li><strong>C.</strong> Apply row-level security to every table and leave <code>DefaultReader</code> unchanged</li><li><strong>D.</strong> Create a shortcut to the folder and assign the group the workspace Viewer role</li></ol>	<strong>Correct answer:</strong> A. Add the group to a new OneLake security role scoped to the folder and remove its broad access through <code>DefaultReader</code> or <code>ReadAll</code><br><br><strong>Explanation:</strong><br>OneLake security roles can grant access to specific folders. When the preview is enabled, existing readers can remain in <code>DefaultReader</code> through virtual membership based on <code>ReadAll</code>; that broader access must be removed or the folder-specific restriction is ineffective.<br><br><strong>Choice reasoning:</strong><ul><li><strong>A.</strong> This grants the required folder access and removes the existing path that exposes all lakehouse data.</li><li><strong>B.</strong> Contributor grants broad workspace authoring and OneLake access, violating least privilege.</li><li><strong>C.</strong> Row-level security applies to table rows, not an unstructured folder, and leaving <code>DefaultReader</code> preserves broad access.</li><li><strong>D.</strong> A shortcut references data but does not override the source security model; Viewer is not a substitute for a folder-scoped OneLake role.</li></ul><br><br><strong>Source:</strong> Get started with OneLake security<br><strong>Link:</strong> <a href="https://learn.microsoft.com/en-us/fabric/onelake/security/get-started-data-access-roles">https://learn.microsoft.com/en-us/fabric/onelake/security/get-started-data-access-roles</a>	dp700 question-bank dp700-005 domain-implement-and-manage-an-analytics-solution difficulty-advanced topic-onelake-table-and-folder-security
<strong>DP700-006: Reference ADLS data without copying</strong><br><br>Several terabytes of Parquet files are already stored in an Azure Data Lake Storage Gen2 account with hierarchical namespace enabled. A Fabric lakehouse must expose the current files quickly while avoiding another physical copy. What should you create?<br><br><ol type="A"><li><strong>A.</strong> An ADLS Gen2 shortcut in the lakehouse</li><li><strong>B.</strong> A full-copy Copy job</li><li><strong>C.</strong> A Dataflow Gen2 destination that replaces the files</li><li><strong>D.</strong> A deployment pipeline stage</li></ol>	<strong>Correct answer:</strong> A. An ADLS Gen2 shortcut in the lakehouse<br><br><strong>Explanation:</strong><br>A OneLake shortcut can reference a folder in an ADLS Gen2 account from a lakehouse. It makes the external data accessible through Fabric without moving or duplicating the original files.<br><br><strong>Choice reasoning:</strong><ul><li><strong>A.</strong> The shortcut meets both the rapid-access and zero-copy requirements.</li><li><strong>B.</strong> A full-copy job would create the additional physical copy the scenario prohibits.</li><li><strong>C.</strong> Loading to a Dataflow Gen2 destination moves transformed data rather than exposing the existing files in place.</li><li><strong>D.</strong> A deployment pipeline manages item lifecycle stages and does not provide access to external data.</li></ul><br><br><strong>Source:</strong> Create an Azure Data Lake Storage Gen2 shortcut<br><strong>Link:</strong> <a href="https://learn.microsoft.com/en-us/fabric/onelake/create-adls-shortcut">https://learn.microsoft.com/en-us/fabric/onelake/create-adls-shortcut</a>	dp700 question-bank dp700-006 domain-ingest-and-transform-data difficulty-foundation topic-onelake-shortcuts
<strong>DP700-007: Incremental load that captures deletes</strong><br><br>A supported source database has change data capture (CDC) enabled. A Fabric load must incrementally synchronize inserts, updates, and deletes to its destination and resume from the last successful state after a failure. Which configuration should you choose?<br><br><ol type="A"><li><strong>A.</strong> An incremental Copy job that uses the detected CDC feed</li><li><strong>B.</strong> A watermark-based Copy job on an increasing integer column</li><li><strong>C.</strong> A full-copy Copy job that appends every source row on each run</li><li><strong>D.</strong> A OneLake shortcut to the relational table</li></ol>	<strong>Correct answer:</strong> A. An incremental Copy job that uses the detected CDC feed<br><br><strong>Explanation:</strong><br>For a supported CDC-enabled source, Copy job detects the change feed and transfers inserts, updates, and deletes since the last successful run. Copy job manages that successful-run state, so a failed run resumes without advancing the checkpoint.<br><br><strong>Choice reasoning:</strong><ul><li><strong>A.</strong> CDC satisfies the delete-capture requirement and provides managed incremental state.</li><li><strong>B.</strong> A watermark can identify inserts and updates when its value changes, but it cannot detect source deletions.</li><li><strong>C.</strong> Repeated full appends duplicate existing data and do not model source deletes.</li><li><strong>D.</strong> A shortcut is a reference to supported file or OneLake locations, not a CDC synchronization process for this database source.</li></ul><br><br><strong>Source:</strong> Incremental copy in Copy job<br><strong>Link:</strong> <a href="https://learn.microsoft.com/en-us/fabric/data-factory/incremental-copy-job">https://learn.microsoft.com/en-us/fabric/data-factory/incremental-copy-job</a>	dp700 question-bank dp700-007 domain-ingest-and-transform-data difficulty-intermediate topic-incremental-loading-with-copy-job
<strong>DP700-008: Code-first custom transformation</strong><br><br>A data engineering team must transform large semi-structured datasets in OneLake. The solution requires reusable Python functions, a third-party library, and custom PySpark logic before writing Delta tables. Which Fabric item is the best fit for the transformation?<br><br><ol type="A"><li><strong>A.</strong> Dataflow Gen2</li><li><strong>B.</strong> Fabric notebook</li><li><strong>C.</strong> Deployment pipeline</li><li><strong>D.</strong> Activator</li></ol>	<strong>Correct answer:</strong> B. Fabric notebook<br><br><strong>Explanation:</strong><br>Fabric notebooks provide a code-first Spark environment for advanced transformations and support Python and PySpark. That makes a notebook the appropriate choice for reusable code, libraries, and custom processing of OneLake data.<br><br><strong>Choice reasoning:</strong><ul><li><strong>A.</strong> Dataflow Gen2 is optimized for visual Power Query transformations and does not best meet the explicit custom PySpark and Python-library requirements.</li><li><strong>B.</strong> A notebook provides the requested code-first language, library, and distributed Spark capabilities.</li><li><strong>C.</strong> A deployment pipeline promotes items between environments; it does not execute the transformation logic described.</li><li><strong>D.</strong> Activator detects conditions and triggers actions; it is not a batch data-transformation engine.</li></ul><br><br><strong>Source:</strong> Prepare and transform data in Microsoft Fabric<br><strong>Link:</strong> <a href="https://learn.microsoft.com/en-us/fabric/fundamentals/prepare-transform-data">https://learn.microsoft.com/en-us/fabric/fundamentals/prepare-transform-data</a>	dp700 question-bank dp700-008 domain-ingest-and-transform-data difficulty-intermediate topic-choosing-a-batch-transformation-tool
<strong>DP700-009: No-code processing of events in motion</strong><br><br>IoT telemetry arrives continuously from Event Hubs. Before storage, the solution must filter invalid events, remove duplicates, calculate five-minute windowed aggregates, and route different device categories to separate destinations. The team wants a no-code implementation. Which Fabric component should perform this processing?<br><br><ol type="A"><li><strong>A.</strong> Eventstream</li><li><strong>B.</strong> Dataflow Gen2</li><li><strong>C.</strong> Deployment pipeline</li><li><strong>D.</strong> Warehouse SQL query editor</li></ol>	<strong>Correct answer:</strong> A. Eventstream<br><br><strong>Explanation:</strong><br>Eventstreams collect, transform, and route real-time data without code. Their event-processing capabilities include filtering, cleansing, windowed aggregation, duplicate detection, and content-based routing to destinations.<br><br><strong>Choice reasoning:</strong><ul><li><strong>A.</strong> Eventstream natively combines the required no-code, streaming transformations and routing.</li><li><strong>B.</strong> Dataflow Gen2 is a Power Query data-preparation tool and is not the component designed for continuous event-in-motion processing and routing.</li><li><strong>C.</strong> A deployment pipeline manages application lifecycle promotion, not streaming records.</li><li><strong>D.</strong> The Warehouse SQL query editor queries stored data; it does not provide this no-code event-routing topology before storage.</li></ul><br><br><strong>Source:</strong> What is Real-Time Intelligence in Microsoft Fabric?<br><strong>Link:</strong> <a href="https://learn.microsoft.com/en-us/fabric/real-time-intelligence/overview">https://learn.microsoft.com/en-us/fabric/real-time-intelligence/overview</a>	dp700 question-bank dp700-009 domain-ingest-and-transform-data difficulty-advanced topic-eventstream-transformations-and-routing
<strong>DP700-010: Recover a Structured Streaming job</strong><br><br>A Spark Job Definition continuously writes Event Hubs data to a Delta table. After the job restarts, it must recover its streaming progress instead of beginning again with no record of prior work. Which configuration is essential on the streaming write?<br><br><ol type="A"><li><strong>A.</strong> Set a persistent, job-specific <code>checkpointLocation</code> in the lakehouse</li><li><strong>B.</strong> Change <code>outputMode</code> to <code>complete</code> and omit a checkpoint</li><li><strong>C.</strong> Run <code>VACUUM</code> on the target before every microbatch</li><li><strong>D.</strong> Create a deployment rule for the target table</li></ol>	<strong>Correct answer:</strong> A. Set a persistent, job-specific <code>checkpointLocation</code> in the lakehouse<br><br><strong>Explanation:</strong><br>The Fabric Structured Streaming pattern stores checkpoint information in the lakehouse by setting <code>checkpointLocation</code> on <code>writeStream</code>. The checkpoint preserves the stream's progress and state so the job can recover across restarts.<br><br><strong>Choice reasoning:</strong><ul><li><strong>A.</strong> A durable checkpoint is the mechanism that records streaming progress for recovery.</li><li><strong>B.</strong> Output mode controls how results are written; it does not replace durable checkpoint state.</li><li><strong>C.</strong> <code>VACUUM</code> removes unreferenced Delta files and is unrelated to preserving streaming offsets or recovery state.</li><li><strong>D.</strong> Deployment rules configure stage-specific item settings and do not checkpoint a running stream.</li></ul><br><br><strong>Source:</strong> Get streaming data into a lakehouse and access it with the SQL analytics endpoint<br><strong>Link:</strong> <a href="https://learn.microsoft.com/en-us/fabric/data-engineering/get-started-streaming">https://learn.microsoft.com/en-us/fabric/data-engineering/get-started-streaming</a>	dp700 question-bank dp700-010 domain-ingest-and-transform-data difficulty-advanced topic-spark-structured-streaming-reliability
